seed,nnet,HighEnergyLevelChargeStopper,HighEnergyWantsToCharge,ChargeOnVeryLowEnergy,LowEnergyFlyToField,DroneOnEmptyField,HighEnergyIdleDronesVeryFarFromBirds,set_state,which_simulation,drones,file,redflags,charger_option,hysteresis,active_drones,total_damage,alive_drone_rate,damage_rate,charger_capacity
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,5.0,88.0,0.5,0.09341825902335456,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,f0.8-9,4.0,84.0,0.4,0.08917197452229299,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,none,5.0,259.0,0.5,0.2749469214437367,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,B0.5-9,0.0,49.0,0.0,0.05201698513800425,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,B0.9-9,0.0,45.0,0.0,0.04777070063694268,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-5,0.0,69.0,0.0,0.0732484076433121,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0.0,68.0,0.0,0.07218683651804671,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,f0.8-9,0.0,16.0,0.0,0.016985138004246284,1.0
5000,C1,1,1,1,1,1,1,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,none,0.0,72.0,0.0,0.07643312101910828,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,B0.5-9,0.0,22.0,0.0,0.02335456475583864,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,B0.9-9,0.0,22.0,0.0,0.02335456475583864,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-5,0.0,22.0,0.0,0.02335456475583864,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0.0,22.0,0.0,0.02335456475583864,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,f0.8-9,0.0,22.0,0.0,0.02335456475583864,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,none,1.0,294.0,0.1,0.31210191082802546,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,B0.5-9,1.0,212.0,0.1,0.22505307855626328,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,B0.9-9,0.0,9.0,0.0,0.009554140127388535,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-5,1.0,212.0,0.1,0.22505307855626328,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,a0.1-9,1.0,212.0,0.1,0.22505307855626328,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,f0.8-9,1.0,212.0,0.1,0.22505307855626328,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_drone,10,10drones,RedflagsEnum.answer,3,none,6.0,191.0,0.6,0.20276008492569003,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,B0.5-9,0.0,23.0,0.0,0.024416135881104035,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,B0.9-9,0.0,39.0,0.0,0.041401273885350316,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-5,0.0,4.0,0.0,0.004246284501061571,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,a0.1-9,0.0,3.0,0.0,0.0031847133757961785,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,f0.8-9,0.0,19.0,0.0,0.020169851380042462,1.0
5000,deep,0,0,0,0,0,0,SetState.use_set_state_minimal,greedy_ens,10,10drones,RedflagsEnum.answer,3,none,0.0,159.0,0.0,0.16878980891719744,1.0
5000,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,B0.5-9,0.0,24.0,0.0,0.025477707006369428,1.0
5000,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,B0.9-9,0.0,24.0,0.0,0.025477707006369428,1.0
5000,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-5,0.0,24.0,0.0,0.025477707006369428,1.0
5000,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,a0.1-9,0.0,24.0,0.0,0.025477707006369428,1.0
5000,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,f0.8-9,0.0,24.0,0.0,0.025477707006369428,1.0
5000,deep,1,1,1,1,1,1,SetState.use_set_state_minimal,argmax,10,10drones,RedflagsEnum.answer,3,none,2.0,279.0,0.2,0.2961783439490446,1.0
